,adventurer,knight,mage,druid,hunter,monk,viking,prophet,vampire,cultist,champion,darkmage,chef,leper,master
adventurer,50,73,63,75,50,63,30,60,50,57,57,68,75,35,57
knight,28,50,55,50,50,23,25,35,25,15,38,40,50,25,60
mage,38,50,50,23,48,55,45,43,55,38,55,40,60,48,33
druid,25,50,75,50,53,53,25,50,25,35,50,68,75,25,70
hunter,48,50,48,50,50,48,50,53,45,28,50,45,63,48,55
monk,35,70,50,48,50,50,25,30,30,43,55,55,63,30,50
viking,68,75,50,75,50,75,50,50,55,57,75,50,75,53,50
prophet,35,60,75,40,60,65,50,50,40,60,70,38,25,50,45
vampire,50,75,60,45,50,65,45,73,50,73,65,55,75,45,65
cultist,30,80,80,53,48,48,48,23,28,50,60,63,57,38,65
champion,35,65,35,60,50,60,25,45,33,23,50,43,57,25,48
darkmage,28,43,57,30,60,48,50,65,40,38,60,50,70,40,57
chef,25,53,68,28,45,33,25,40,30,33,33,13,50,25,45
leper,65,75,60,75,50,73,48,53,50,65,75,55,75,50,57
master,40,45,63,48,45,55,50,35,33,60,48,35,68,40,50
