,adventurer,knight,mage,druid,hunter,monk,viking,prophet,vampire,cultist,champion,darkmage,chef,leper,master
adventurer,50,30,63,75,50,63,30,60,50,57,55,68,48,33,57
knight,73,50,55,75,50,75,95,50,53,70,75,50,55,57,57
mage,38,38,50,23,48,55,45,43,55,38,48,40,43,48,33
druid,25,25,75,50,53,53,30,50,25,35,40,68,25,25,70
hunter,48,50,48,50,50,48,50,53,45,28,50,45,50,50,55
monk,35,25,50,48,50,50,30,30,30,43,33,55,33,28,50
viking,65,5,50,73,50,75,50,50,55,55,70,50,50,53,50
prophet,35,50,75,40,60,65,50,50,40,60,65,38,38,38,45
vampire,50,48,60,45,50,65,48,73,50,73,55,55,50,50,65
cultist,30,30,80,53,48,48,48,23,28,50,63,63,30,35,65
champion,45,25,43,55,50,55,25,38,38,50,50,45,35,33,57
darkmage,28,50,57,30,60,48,50,65,40,38,60,50,33,45,57
chef,60,50,65,73,53,65,50,65,50,60,68,68,50,45,65
leper,63,38,60,78,50,70,50,57,55,60,73,60,53,50,60
master,40,45,63,48,45,55,50,35,33,60,48,35,30,40,50
