,adventurer,knight,mage,druid,hunter,monk,viking,prophet,vampire,cultist,champion,darkmage,chef,leper,master
adventurer,50,73,73,70,57,63,28,68,50,75,57,75,75,30,75
knight,28,50,73,73,60,23,25,68,25,75,38,75,75,25,75
mage,25,25,50,53,38,28,35,38,25,40,38,85,50,25,50
druid,25,30,50,50,40,23,28,48,28,45,25,53,50,25,50
hunter,38,43,70,60,50,48,50,68,40,63,45,75,65,45,60
monk,35,70,70,75,50,50,25,65,30,78,55,75,75,25,75
viking,65,75,63,75,50,75,50,50,65,75,75,75,75,53,75
prophet,33,30,60,50,38,33,50,50,25,48,38,60,50,33,50
vampire,50,75,70,75,53,65,50,75,50,75,65,75,75,45,75
cultist,25,25,50,57,33,25,28,45,25,50,25,78,57,25,65
champion,35,65,65,75,53,60,25,60,33,78,50,75,75,25,75
darkmage,25,25,33,33,25,25,25,43,25,20,25,50,50,25,33
chef,25,25,50,50,30,25,25,50,25,40,25,50,50,25,50
leper,70,75,73,75,53,75,48,70,50,75,75,75,75,50,75
master,25,25,50,50,40,25,25,50,25,28,25,57,50,25,50
